voltage,current,active_power,reactive_power,apparent_power,power_factor,timestamp,reliable,device_id,load_type,probe_id,frequency,energy,temperature,bulb,fan,iron,labels
233.67,0.42706,84.82254,52.56829,99.79122,0.85,2025-12-09T19:02:50.725756,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.435269,86.4529,53.5787,101.7093,0.85,2025-12-09T19:02:53.781784,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.451382,89.65333,55.56215,105.4745,0.85,2025-12-09T19:02:56.810625,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.457015,90.77206,56.25548,106.7907,0.85,2025-12-09T19:02:59.867042,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.445174,88.42026,54.79794,104.0238,0.85,2025-12-09T19:03:02.925509,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.41266,81.96232,50.79568,96.42625,0.85,2025-12-09T19:03:05.922385,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.414549,82.3375,51.02819,96.86765,0.85,2025-12-09T19:03:08.948854,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.442944,87.97733,54.52344,103.5027,0.85,2025-12-09T19:03:12.925908,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.434885,86.37662,53.53141,101.6195,0.85,2025-12-09T19:03:15.040636,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.444894,88.36456,54.76343,103.9583,0.85,2025-12-09T19:03:18.080532,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.452282,89.83204,55.67289,105.6847,0.85,2025-12-09T19:03:21.117620,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.459853,91.33576,56.60481,107.4538,0.85,2025-12-09T19:03:24.171303,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.430741,85.55355,53.02133,100.6512,0.85,2025-12-09T19:03:27.188761,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.420401,83.49986,51.74857,98.23512,0.85,2025-12-09T19:03:30.243169,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.409492,81.33314,50.40575,95.68604,0.85,2025-12-09T19:03:33.267923,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.457252,90.81907,56.2846,106.846,0.85,2025-12-09T19:03:36.505610,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.436486,86.69463,53.7285,101.9937,0.85,2025-12-09T19:03:39.404379,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.460996,91.56281,56.74553,107.721,0.85,2025-12-09T19:03:42.410645,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.42152,83.72216,51.88634,98.49666,0.85,2025-12-09T19:03:45.441606,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.415114,82.44965,51.0977,96.99959,0.85,2025-12-09T19:03:48.499986,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.411866,81.80457,50.69791,96.24066,0.85,2025-12-09T19:03:51.530574,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.463078,91.97633,57.00179,108.2074,0.85,2025-12-09T19:03:54.568609,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.441715,87.73315,54.37212,103.2155,0.85,2025-12-09T19:03:57.614190,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.447286,88.83974,55.05791,104.5173,0.85,2025-12-09T19:04:01.136736,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.443774,88.14217,54.6256,103.6967,0.85,2025-12-09T19:04:03.697340,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.419008,83.22324,51.57711,97.90968,0.85,2025-12-09T19:04:06.811707,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.415128,82.45256,51.09951,97.00301,0.85,2025-12-09T19:04:09.767586,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.446536,88.69077,54.96561,104.3421,0.85,2025-12-09T19:04:12.810987,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.409699,81.37418,50.43118,95.73432,0.85,2025-12-09T19:04:15.850572,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.447849,88.95155,55.1272,104.6489,0.85,2025-12-09T19:04:18.888296,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.448232,89.02756,55.17431,104.7383,0.85,2025-12-09T19:04:21.935830,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
233.67,0.444169,88.22054,54.67417,103.7889,0.85,2025-12-09T19:04:24.967231,FALSE,power_monitor_1,unknown,default,50,0,25,1,0,0,1
